変更区分,病名管理番号,病名表記,病名表記カナ,採択区分,病名交換用コード,ICD10-2013-1,ICD10-2013-2,予備1,予備2,レセ電算コード,傷病名省略名称,使用分野,変更履歴番号,変更日付,移行先病名管理番号,単独使用禁止区分,保険請求外区分,予備３,予備４
0,20100524,"１１β−水酸化酵素欠損症","１１ベータ−スイサンカコウソケッソンショウ",1,"QJ83","E250","","517",,8848176,"１１β−水酸化酵素欠損症",1,315,20150101,,"00",0,"",""
0,20100530,"１７α−水酸化酵素欠損症","１７アルファ−スイサンカコウソケッソンショウ",1,"CP8K","E250","","517",,8848177,"１７α−水酸化酵素欠損症",1,315,20150101,,"00",0,"",""
0,20103377,"１７β−ヒドロキシステロイド脱水素酵素欠損症","１７ベータ−ヒドロキシステロイドダッスイソコウソケッソンショウ",1,"A1R3","Q561","","517",,8849692,"１７βヒドロキシステロイド脱水素酵素欠損",1,500,20190601,,"00",0,"",""
0,20100527,"１８−水酸化酵素欠損症","１８−スイサンカコウソケッソンショウ",1,"KP6Q","E250","","517",,8848178,"１８−水酸化酵素欠損症",1,315,20150101,,"00",0,"",""
0,20101041,"１８ｑ欠失症候群","１８ｑケッシツショウコウグン",1,"P4SF","Q935","","517",,8848425,"１８ｑ欠失症候群",1,318,20151001,,"00",0,"",""
0,20050004,"１８常染色体異常","１８ジョウセンショクタイイジョウ",1,"L21F","Q913","","517",,7582002,"１８常染色体異常",1,200,,,"00",0,"",""
0,20101149,"１ｐ３６欠失症候群","１ｐ３６ケッシツショウコウグン",1,"FFKF","Q935","","517",,8848426,"１ｐ３６欠失症候群",1,318,20151001,,"00",0,"",""
0,20102695,"１ｑ部分重複症候群","１ｑブブンジュウフクショウコウグン",1,"V9M9","Q878","","517",,8849233,"１ｑ部分重複症候群",1,403,20180101,,"00",0,"",""
0,20104910,"１型２色覚","１ガタ２シキカク",1,"MA2K","H535","","517",,8850601,"１型２色覚",1,506,20210601,,"00",0,"",""
0,20104914,"１型３色覚","１ガタ３シキカク",1,"F7TP","H535","","517",,8850602,"１型３色覚",1,506,20210601,,"00",0,"",""
0,20102497,"１型呼吸不全","１ガタコキュウフゼン",1,"G1DR","J9690","","517",,8849055,"１型呼吸不全",1,401,20170601,,"00",0,"",""
0,20104917,"１型色覚","１ガタシキカク",1,"P683","H535","","517",,8850603,"１型色覚",1,506,20210601,,"00",0,"",""
0,20100245,"１型自己免疫性膵炎","１ガタジコメンエキセイスイエン",1,"Q26Q","K861","","517",,8848310,"１型自己免疫性膵炎",1,317,20150601,,"00",0,"",""
0,20083022,"１型糖尿病","１ガタトウニョウビョウ",1,"T48P","E10","","517",,2500014,"１型糖尿病",1,210,20020601,,"00",0,"",""
0,20085414,"１型糖尿病・関節合併症あり","１ガタトウニョウビョウ・カンセツガッペイショウアリ",1,"HMMH","E106","","517",,8841685,"１型糖尿病・関節合併症あり",1,211,20021001,,"00",0,"",""
0,20085411,"１型糖尿病・眼合併症あり","１ガタトウニョウビョウ・ガンガッペイショウアリ",1,"EH0K","E103","","517",,8841682,"１型糖尿病・眼合併症あり",1,211,20021001,,"00",0,"",""
0,20085409,"１型糖尿病・ケトアシドーシス合併あり","１ガタトウニョウビョウ・ケトアシドーシスガッペイアリ",1,"SL41","E101","","517",,8841680,"１型糖尿病・ケトアシドーシス合併あり",1,211,20021001,,"00",0,"",""
0,20085408,"１型糖尿病・昏睡合併あり","１ガタトウニョウビョウ・コンスイガッペイアリ",1,"PH5Q","E100","","517",,8841679,"１型糖尿病・昏睡合併あり",1,211,20021001,,"00",0,"",""
0,20085412,"１型糖尿病・神経学的合併症あり","１ガタトウニョウビョウ・シンケイガクテキガッペイショウアリ",1,"L0QR","E104","","517",,8841683,"１型糖尿病・神経学的合併症あり",1,211,20021001,,"00",0,"",""
0,20085410,"１型糖尿病・腎合併症あり","１ガタトウニョウビョウ・ジンガッペイショウアリ",1,"J21P","E102","","517",,8841681,"１型糖尿病・腎合併症あり",1,211,20021001,,"00",0,"",""
