location_id,address_1,address_2,city,state,zip,county,location_source_value,country_concept_id,country_source_value,latitude,longitude
1,,,,,,,北海道,42006858,Japan,,
2,,,,,,,青森県,42006858,Japan,,
3,,,,,,,岩手県,42006858,Japan,,
4,,,,,,,宮城県,42006858,Japan,,
5,,,,,,,秋田県,42006858,Japan,,
6,,,,,,,山形県,42006858,Japan,,
7,,,,,,,福島県,42006858,Japan,,
8,,,,,,,茨城県,42006858,Japan,,
9,,,,,,,栃木県,42006858,Japan,,
10,,,,,,,群馬県,42006858,Japan,,
11,,,,,,,埼玉県,42006858,Japan,,
12,,,,,,,千葉県,42006858,Japan,,
13,,,,,,,東京都,42006858,Japan,,
14,,,,,,,神奈川県,42006858,Japan,,
15,,,,,,,新潟県,42006858,Japan,,
16,,,,,,,富山県,42006858,Japan,,
17,,,,,,,石川県,42006858,Japan,,
18,,,,,,,福井県,42006858,Japan,,
19,,,,,,,山梨県,42006858,Japan,,
20,,,,,,,長野県,42006858,Japan,,
21,,,,,,,岐阜県,42006858,Japan,,
22,,,,,,,静岡県,42006858,Japan,,
23,,,,,,,愛知県,42006858,Japan,,
24,,,,,,,三重県,42006858,Japan,,
25,,,,,,,滋賀県,42006858,Japan,,
26,,,,,,,京都府,42006858,Japan,,
27,,,,,,,大阪府,42006858,Japan,,
28,,,,,,,兵庫県,42006858,Japan,,
29,,,,,,,奈良県,42006858,Japan,,
30,,,,,,,和歌山県,42006858,Japan,,
31,,,,,,,鳥取県,42006858,Japan,,
32,,,,,,,島根県,42006858,Japan,,
33,,,,,,,岡山県,42006858,Japan,,
34,,,,,,,広島県,42006858,Japan,,
35,,,,,,,山口県,42006858,Japan,,
36,,,,,,,徳島県,42006858,Japan,,
37,,,,,,,香川県,42006858,Japan,,
38,,,,,,,愛媛県,42006858,Japan,,
39,,,,,,,高知県,42006858,Japan,,
40,,,,,,,福岡県,42006858,Japan,,
41,,,,,,,佐賀県,42006858,Japan,,
42,,,,,,,長崎県,42006858,Japan,,
43,,,,,,,熊本県,42006858,Japan,,
44,,,,,,,大分県,42006858,Japan,,
45,,,,,,,宮崎県,42006858,Japan,,
46,,,,,,,鹿児島県,42006858,Japan,,
47,,,,,,,沖縄県,42006858,Japan,,
