provider_id,provider_name,npi,dea,specialty_concept_id,care_site_id,year_of_birth,gender_concept_id,provider_source_value,specialty_source_value,specialty_source_concept_id,gender_source_value,gender_source_concept_id
1,内科,,,,,,,01,内科,,,
2,精神科,,,,,,,02,精神科,,,
3,神経科,,,,,,,03,神経科,,,
4,神経内科,,,,,,,04,神経内科,,,
5,呼吸器科,,,,,,,05,呼吸器科,,,
6,消化器科,,,,,,,06,消化器科,,,
7,胃腸科,,,,,,,07,胃腸科,,,
8,循環器科,,,,,,,08,循環器科,,,
9,小児科,,,,,,,09,小児科,,,
10,外科,,,,,,,10,外科,,,
11,整形外科,,,,,,,11,整形外科,,,
12,形成外科,,,,,,,12,形成外科,,,
13,美容外科,,,,,,,13,美容外科,,,
14,脳神経外科,,,,,,,14,脳神経外科,,,
15,呼吸器外科,,,,,,,15,呼吸器外科,,,
16,心臓血管外科,,,,,,,16,心臓血管外科,,,
17,小児外科,,,,,,,17,小児外科,,,
18,皮膚泌尿器科,,,,,,,18,皮膚泌尿器科,,,
19,皮膚科,,,,,,,19,皮膚科,,,
20,泌尿器科,,,,,,,20,泌尿器科,,,
21,性病科,,,,,,,21,性病科,,,
22,肛門科,,,,,,,22,肛門科,,,
23,産婦人科,,,,,,,23,産婦人科,,,
24,産科,,,,,,,24,産科,,,
25,婦人科,,,,,,,25,婦人科,,,
26,眼科,,,,,,,26,眼科,,,
27,耳鼻咽喉科,,,,,,,27,耳鼻咽喉科,,,
28,気管食道科,,,,,,,28,気管食道科,,,
29,放射線科,,,,,,,30,放射線科,,,
30,麻酔科,,,,,,,31,麻酔科,,,
31,心療内科,,,,,,,33,心療内科,,,
32,アレルギー科,,,,,,,34,アレルギー科,,,
33,リウマチ科,,,,,,,35,リウマチ科,,,
34,リハビリテーション科,,,,,,,36,リハビリテーション科,,,
35,病理診断科,,,,,,,37,病理診断科,,,
36,臨床検査科,,,,,,,38,臨床検査科,,,
37,救急科,,,,,,,39,救急科,,,
38,遺伝科,,,,,,,40,遺伝科,,,
39,血液内科,,,,,,,41,血液内科,,,
40,血液腫瘍内科,,,,,,,42,血液腫瘍内科,,,
41,血液透析科,,,,,,,43,血液透析科,,,
42,健診科,,,,,,,44,健診科,,,
43,呼吸器内科,,,,,,,45,呼吸器内科,,,
44,在宅診療科,,,,,,,46,在宅診療科,,,
45,腫瘍診療科,,,,,,,47,腫瘍診療科,,,
46,腎臓内科,,,,,,,48,腎臓内科,,,
47,睡眠診療部,,,,,,,49,睡眠診療部,,,
48,精神神経科,,,,,,,50,精神神経科,,,
49,総合診療科,,,,,,,51,総合診療科,,,
50,内視鏡診療部,,,,,,,52,内視鏡診療部,,,
51,内分泌・代謝科,,,,,,,53,内分泌・代謝科,,,
52,膠原病科,,,,,,,54,膠原病科,,,
53,消化器内科,,,,,,,70,消化器内科,,,
54,内分泌内科,,,,,,,71,内分泌内科,,,
55,代謝内科,,,,,,,72,代謝内科,,,
56,糖尿病内科,,,,,,,73,糖尿病内科,,,
57,腎臓・内分泌内科,,,,,,,74,腎臓・内分泌内科,,,
58,感染症科,,,,,,,75,感染症科,,,
59,漢方科,,,,,,,76,漢方科,,,
60,老年科,,,,,,,77,老年科,,,
61,血管外科,,,,,,,78,血管外科,,,
62,血管内治療科,,,,,,,79,血管内治療科,,,
63,消化器外科,,,,,,,7A,消化器外科,,,
64,上部消化管外科,,,,,,,7B,上部消化管外科,,,
65,下部消化管外科,,,,,,,7C,下部消化管外科,,,
66,肝胆膵外科,,,,,,,80,肝胆膵外科,,,
67,移植外科,,,,,,,81,移植外科,,,
68,乳腺外科,,,,,,,82,乳腺外科,,,
69,緩和ケア科,,,,,,,83,緩和ケア科,,,
70,集中治療部,,,,,,,84,集中治療部,,,
71,遺伝子診療部,,,,,,,85,遺伝子診療部,,,
72,顎口腔診療科,,,,,,,86,顎口腔診療科,,,
73,輸血診療部,,,,,,,87,輸血診療部,,,
74,予防医学診療部,,,,,,,88,予防医学診療部,,,
75,予防接種科,,,,,,,89,予防接種科,,,
76,先端医療開発診療,,,,,,,8A,先端医療開発診療,,,
