source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
A00,45537706,ATHENA_ICD10,Cholera,198677,SNOMED,2002-01-31,2099-12-31,
A00.0,45537707,ATHENA_ICD10,"Cholera due to Vibrio cholerae 01, biovar cholerae",4344638,SNOMED,2002-01-31,2099-12-31,
A00.1,45552149,ATHENA_ICD10,"Cholera due to Vibrio cholerae 01, biovar eltor",200629,SNOMED,2002-01-31,2099-12-31,
A00.9,45590788,ATHENA_ICD10,"Cholera, unspecified",198677,SNOMED,2002-01-31,2099-12-31,
A01,45576225,ATHENA_ICD10,Typhoid and paratyphoid fevers,133685,SNOMED,2002-01-31,2099-12-31,
A01.0,45537708,ATHENA_ICD10,Typhoid fever,192819,SNOMED,2002-01-31,2099-12-31,
A01.1,45566486,ATHENA_ICD10,Paratyphoid fever A,195460,SNOMED,2002-01-31,2099-12-31,
A01.2,45571411,ATHENA_ICD10,Paratyphoid fever B,193953,SNOMED,2002-01-31,2099-12-31,
A01.3,45600393,ATHENA_ICD10,Paratyphoid fever C,442291,SNOMED,2002-01-31,2099-12-31,
A01.4,45566487,ATHENA_ICD10,"Paratyphoid fever, unspecified",195177,SNOMED,2002-01-31,2099-12-31,
A02,45532807,ATHENA_ICD10,Other salmonella infections,133685,SNOMED,2002-01-31,2099-12-31,
A02.0,45542510,ATHENA_ICD10,Salmonella enteritis,196328,SNOMED,2002-01-31,2099-12-31,
A02.1,45600394,ATHENA_ICD10,Salmonella sepsis,40493039,SNOMED,2011-07-31,2099-12-31,
A02.2,45571412,ATHENA_ICD10,Localized salmonella infections,141209,SNOMED,2002-01-31,2099-12-31,
A02.8,45581098,ATHENA_ICD10,Other specified salmonella infections,133685,SNOMED,2002-01-31,2099-12-31,
A02.9,45552151,ATHENA_ICD10,"Salmonella infection, unspecified",133685,SNOMED,2002-01-31,2099-12-31,
A03,45600395,ATHENA_ICD10,Shigellosis,201780,SNOMED,2002-01-31,2099-12-31,
A03.0,45595571,ATHENA_ICD10,Shigellosis due to Shigella dysenteriae,4282310,SNOMED,2002-01-31,2099-12-31,
A03.1,45542511,ATHENA_ICD10,Shigellosis due to Shigella flexneri,4145763,SNOMED,2002-01-31,2099-12-31,
A03.2,45552152,ATHENA_ICD10,Shigellosis due to Shigella boydii,4185509,SNOMED,2002-01-31,2099-12-31,
A03.3,45595572,ATHENA_ICD10,Shigellosis due to Shigella sonnei,4321384,SNOMED,2002-01-31,2099-12-31,
A03.8,45605185,ATHENA_ICD10,Other shigellosis,440938,SNOMED,2002-01-31,2099-12-31,
A03.9,45590791,ATHENA_ICD10,"Shigellosis, unspecified",201780,SNOMED,2002-01-31,2099-12-31,
A04,45532809,ATHENA_ICD10,Other bacterial intestinal infections,193402,SNOMED,2002-01-31,2099-12-31,
A04.0,45532810,ATHENA_ICD10,Enteropathogenic Escherichia coli infection,4345206,SNOMED,2002-01-31,2099-12-31,
A04.1,45585893,ATHENA_ICD10,Enterotoxigenic Escherichia coli infection,4345354,SNOMED,2002-01-31,2099-12-31,
A04.2,45532811,ATHENA_ICD10,Enteroinvasive Escherichia coli infection,4345355,SNOMED,2002-01-31,2099-12-31,
A04.3,45585894,ATHENA_ICD10,Enterohaemorrhagic Escherichia coli infection,4345207,SNOMED,2002-01-31,2099-12-31,
A04.4,45537710,ATHENA_ICD10,Other intestinal Escherichia coli infections,192815,SNOMED,2002-01-31,2099-12-31,
A04.5,45590792,ATHENA_ICD10,Campylobacter enteritis,198334,SNOMED,2002-01-31,2099-12-31,
A04.6,45600396,ATHENA_ICD10,Enteritis due to Yersinia enterocolitica,46273592,SNOMED,2015-07-31,2099-12-31,
A04.7,45552153,ATHENA_ICD10,Enterocolitis due to Clostridium difficile,193688,SNOMED,2002-01-31,2099-12-31,
A04.8,45561679,ATHENA_ICD10,Other specified bacterial intestinal infections,193402,SNOMED,2002-01-31,2099-12-31,
A04.9,45605186,ATHENA_ICD10,"Bacterial intestinal infection, unspecified",193402,SNOMED,2002-01-31,2099-12-31,
A05,45547384,ATHENA_ICD10,"Other bacterial foodborne intoxications, not elsewhere classified",441500,SNOMED,2002-01-31,2099-12-31,
A05.0,45590793,ATHENA_ICD10,Foodborne staphylococcal intoxication,197776,SNOMED,2002-01-31,2099-12-31,
A05.1,45590794,ATHENA_ICD10,Botulism,607203,SNOMED,2021-07-31,2099-12-31,
A05.2,45581099,ATHENA_ICD10,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,196324,SNOMED,2002-01-31,2099-12-31,
A05.3,45537711,ATHENA_ICD10,Foodborne Vibrio parahaemolyticus intoxication,438670,SNOMED,2002-01-31,2099-12-31,
A05.4,45566488,ATHENA_ICD10,Foodborne Bacillus cereus intoxication,4058528,SNOMED,2002-01-31,2099-12-31,
A05.8,45561680,ATHENA_ICD10,Other specified bacterial foodborne intoxications,441500,SNOMED,2002-01-31,2099-12-31,
A05.9,45556888,ATHENA_ICD10,"Bacterial foodborne intoxication, unspecified",441500,SNOMED,2002-01-31,2099-12-31,
