source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
A08.5a,45571415,ATHENA_ICD10,Other specified intestinal infections,198678,SNOMED,2002-01-31,2099-12-31,
A77.8a,45542539,ATHENA_ICD10,Other spotted fevers,434575,SNOMED,2002-01-31,2099-12-31,
F15.0a,45755381,ATHENA_ICD10,"Mental and behavioural disorders due to use of other stimulants, including caffeine, acute intoxication",37162280,SNOMED,2022-01-31,2099-12-31,
F15.0b,45755381,ATHENA_ICD10,"Mental and behavioural disorders due to use of other stimulants, including caffeine, acute intoxication",37162280,SNOMED,2022-01-31,2099-12-31,
F15.1b,45581428,ATHENA_ICD10,"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use",40479573,SNOMED,2009-07-31,2099-12-31,
F15.2a,45576515,ATHENA_ICD10,"Mental and behavioural disorders due to use of other stimulants, including caffeine, dependence syndrome",40483172,SNOMED,2009-07-31,2099-12-31,
F15.2b,45576515,ATHENA_ICD10,"Mental and behavioural disorders due to use of other stimulants, including caffeine, dependence syndrome",40483172,SNOMED,2009-07-31,2099-12-31,
F15.2c,45576515,ATHENA_ICD10,"Mental and behavioural disorders due to use of other stimulants, including caffeine, dependence syndrome",40483172,SNOMED,2009-07-31,2099-12-31,
F60.3a,45566852,ATHENA_ICD10,Emotionally unstable personality disorder,4103399,SNOMED,2002-01-31,2099-12-31,
F60.3b,45566852,ATHENA_ICD10,Emotionally unstable personality disorder,4103399,SNOMED,2002-01-31,2099-12-31,
F60.3d,45566852,ATHENA_ICD10,Emotionally unstable personality disorder,4103399,SNOMED,2002-01-31,2099-12-31,
I70.00,45596230,ATHENA_ICD10,Atherosclerosis of aorta,312934,SNOMED,2002-01-31,2099-12-31,
I70.10,45596231,ATHENA_ICD10,Atherosclerosis of renal artery,195834,SNOMED,2002-01-31,2099-12-31,
I70.20,45538421,ATHENA_ICD10,Atherosclerosis of arteries of extremities,315558,SNOMED,2002-01-31,2099-12-31,
I70.21,45538421,ATHENA_ICD10,Atherosclerosis of arteries of extremities,315558,SNOMED,2002-01-31,2099-12-31,
I70.80,45572128,ATHENA_ICD10,Atherosclerosis of other arteries,40479625,SNOMED,2009-07-31,2099-12-31,
I70.90,45538439,ATHENA_ICD10,Generalized and unspecified atherosclerosis,318443,SNOMED,2002-01-31,2099-12-31,
I70.91,45538439,ATHENA_ICD10,Generalized and unspecified atherosclerosis,318443,SNOMED,2002-01-31,2099-12-31,
M21.37,45577191,ATHENA_ICD10,Wrist or foot drop (acquired),133857,SNOMED,2002-01-31,2099-12-31,
M21.47,45586915,ATHENA_ICD10,Flat foot [pes planus] (acquired),40400344,SNOMED,2016-07-31,2099-12-31,
M21.57,45548350,ATHENA_ICD10,"Acquired clawhand, clubhand, clawfoot and clubfoot",133857,SNOMED,2002-01-31,2099-12-31,
M21.67,45596522,ATHENA_ICD10,Other acquired deformities of ankle and foot,199913,SNOMED,2002-01-31,2099-12-31,
M21.79,45548352,ATHENA_ICD10,Unequal limb length (acquired),45757656,SNOMED,2014-07-31,2099-12-31,
M21.81,45577194,ATHENA_ICD10,Other specified acquired deformities of limbs,133857,SNOMED,2002-01-31,2099-12-31,
M21.85,45577194,ATHENA_ICD10,Other specified acquired deformities of limbs,133857,SNOMED,2002-01-31,2099-12-31,
M21.86,45577194,ATHENA_ICD10,Other specified acquired deformities of limbs,133857,SNOMED,2002-01-31,2099-12-31,
M24.35,45601400,ATHENA_ICD10,"Pathological dislocation and subluxation of joint, not elsewhere classified",74726,SNOMED,2002-01-31,2099-12-31,
M24.39,45601400,ATHENA_ICD10,"Pathological dislocation and subluxation of joint, not elsewhere classified",74726,SNOMED,2002-01-31,2099-12-31,
M24.75,45577216,ATHENA_ICD10,Protrusio acetabuli,77357,SNOMED,2002-01-31,2099-12-31,
M54.22,45591867,ATHENA_ICD10,Cervicalgia,24134,SNOMED,2002-01-31,2099-12-31,
M54.38,45586994,ATHENA_ICD10,Sciatica,372409,SNOMED,2002-01-31,2099-12-31,
M54.46,45553205,ATHENA_ICD10,Lumbago with sciatica,4001450,SNOMED,2002-01-31,2099-12-31,
M54.56,45553207,ATHENA_ICD10,Low back pain,194133,SNOMED,2002-01-31,2099-12-31,
M54.64,45606247,ATHENA_ICD10,Pain in thoracic spine,312998,SNOMED,2002-01-31,2099-12-31,
M65.34,45538828,ATHENA_ICD10,Trigger finger,4344264,SNOMED,2002-01-31,2099-12-31,
M65.37,45538828,ATHENA_ICD10,Trigger finger,4344264,SNOMED,2002-01-31,2099-12-31,
M65.43,45553231,ATHENA_ICD10,Radial styloid tenosynovitis [de Quervain],73300,SNOMED,2002-01-31,2099-12-31,
M65.44,45553231,ATHENA_ICD10,Radial styloid tenosynovitis [de Quervain],73300,SNOMED,2002-01-31,2099-12-31,
M65.49,45553231,ATHENA_ICD10,Radial styloid tenosynovitis [de Quervain],73300,SNOMED,2002-01-31,2099-12-31,
M70.22,45557961,ATHENA_ICD10,Olecranon bursitis,134452,SNOMED,2007-07-31,2099-12-31,
M70.32,45543667,ATHENA_ICD10,Other bursitis of elbow,46273162,SNOMED,2015-07-31,2099-12-31,
M70.46,45567632,ATHENA_ICD10,Prepatellar bursitis,133294,SNOMED,2002-01-31,2099-12-31,
M70.56,45572525,ATHENA_ICD10,Other bursitis of knee,4009619,SNOMED,2002-01-31,2099-12-31,
M70.65,45606304,ATHENA_ICD10,Trochanteric bursitis,4297894,SNOMED,2002-01-31,2099-12-31,
M70.75,45606305,ATHENA_ICD10,Other bursitis of hip,4216972,SNOMED,2002-01-31,2099-12-31,
M71.26,45596669,ATHENA_ICD10,Synovial cyst of popliteal space [Baker],4347174,SNOMED,2002-01-31,2099-12-31,
M72.04,45543681,ATHENA_ICD10,Palmar fascial fibromatosis [Dupuytren],4308093,SNOMED,2004-07-31,2099-12-31,
M72.13,45562824,ATHENA_ICD10,Knuckle pads,4041695,SNOMED,2002-01-31,2099-12-31,
M72.27,45553265,ATHENA_ICD10,Plantar fascial fibromatosis,134460,SNOMED,2002-01-31,2099-12-31,
M76.15,45567651,ATHENA_ICD10,Psoas tendinitis,4192851,SNOMED,2002-01-31,2099-12-31,
M76.25,45572546,ATHENA_ICD10,Iliac crest spur,4223399,SNOMED,2002-01-31,2099-12-31,
M76.35,45543685,ATHENA_ICD10,Iliotibial band syndrome,4173780,SNOMED,2007-01-31,2099-12-31,
M76.46,45562832,ATHENA_ICD10,Tibial collateral bursitis [Pellegrini-Stieda],4344031,SNOMED,2002-01-31,2099-12-31,
M76.56,45601540,ATHENA_ICD10,Patellar tendinitis,433000,SNOMED,2002-01-31,2099-12-31,
M76.66,45596682,ATHENA_ICD10,Achilles tendinitis,77963,SNOMED,2002-01-31,2099-12-31,
M76.76,45553268,ATHENA_ICD10,Peroneal tendinitis,4180849,SNOMED,2002-01-31,2099-12-31,
M76.85,45577349,ATHENA_ICD10,"Other enthesopathies of lower limb, excluding foot",4194889,SNOMED,2002-01-31,2099-12-31,
M76.86,45577349,ATHENA_ICD10,"Other enthesopathies of lower limb, excluding foot",4194889,SNOMED,2002-01-31,2099-12-31,
M76.95,45538865,ATHENA_ICD10,"Enthesopathy of lower limb, unspecified",4194889,SNOMED,2002-01-31,2099-12-31,
M77.02,45557989,ATHENA_ICD10,Medial epicondylitis,80187,SNOMED,2002-01-31,2099-12-31,
M77.12,45572551,ATHENA_ICD10,Lateral epicondylitis,81379,SNOMED,2002-01-31,2099-12-31,
M77.23,45582245,ATHENA_ICD10,Periarthritis of wrist,4009506,SNOMED,2002-01-31,2099-12-31,
M77.37,45557991,ATHENA_ICD10,Calcaneal spur,73560,SNOMED,2002-01-31,2099-12-31,
M77.47,45601544,ATHENA_ICD10,Metatarsalgia,4002956,SNOMED,2002-01-31,2099-12-31,
M77.57,45577354,ATHENA_ICD10,Other enthesopathy of foot,4347178,SNOMED,2002-01-31,2099-12-31,
M79.46,45543688,ATHENA_ICD10,Hypertrophy of (infrapatellar) fat pad,4029277,SNOMED,2002-01-31,2099-12-31,
M85.28,45587155,ATHENA_ICD10,Hyperostosis of skull,37311944,SNOMED,2020-01-31,2099-12-31,
M88.08,45548599,ATHENA_ICD10,Paget disease of skull,4001632,SNOMED,2002-01-31,2099-12-31,
M91.05,45606453,ATHENA_ICD10,Juvenile osteochondrosis of pelvis,4029633,SNOMED,2002-01-31,2099-12-31,
M91.15,45601691,ATHENA_ICD10,Juvenile osteochondrosis of head of femur [Legg-Calvé-Perthes],4006963,SNOMED,2002-01-31,2099-12-31,
M91.25,45548624,ATHENA_ICD10,Coxa plana,4345598,SNOMED,2002-01-31,2099-12-31,
M91.35,45582363,ATHENA_ICD10,Pseudocoxalgia,4006963,SNOMED,2002-01-31,2099-12-31,
