source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
A006,45538546,MEDIS_DIAGEXC_S,K74.6|結節性肝硬変,4064161,SNOMED,1990-05-01,2099-12-31,
A00A,45561898,MEDIS_DIAGEXC_S,D17.2|足底血管脂肪腫,4031128,SNOMED,1990-05-01,2099-12-31,
A01D,45552511,MEDIS_DIAGEXC_S,G06.0|前頭部脳膿瘍,4181187,SNOMED,1990-05-01,2099-12-31,
A01K,45538096,MEDIS_DIAGEXC_S,G04.8|抗ＮＭＤＡ受容体脳炎,4190307,SNOMED,1990-05-01,2099-12-31,
A02Q,45558766,MEDIS_DIAGEXC_S,S25.5|肋間動静脈損傷,317713,SNOMED,1990-05-01,2099-12-31,
A03U,42618910,MEDIS_DIAGEXC_S,M85.60|多発性骨のう腫,80509,SNOMED,2016-12-01,2099-12-31,
A044,45601022,MEDIS_DIAGEXC_S,I22.8|再発性後壁心筋梗塞,4108217,SNOMED,1990-05-01,2099-12-31,
A058,45534459,MEDIS_DIAGEXC_S,R59.0|肺門リンパ節腫脹,4168700,SNOMED,1990-05-01,2099-12-31,
A05G,45566673,MEDIS_DIAGEXC_S,D22.7|大腿青色母斑,4031763,SNOMED,1990-05-01,2099-12-31,
A068,45592393,MEDIS_DIAGEXC_S,Q78.9|軟骨異形成症,4023985,SNOMED,1990-05-01,2099-12-31,
A082,45581207,MEDIS_DIAGEXC_S,C40.2|大腿骨骨幹部悪性骨腫瘍,436640,SNOMED,1990-05-01,2099-12-31,
A08G,45562073,MEDIS_DIAGEXC_S,G04.9|圧迫性脊髄炎,4147498,SNOMED,1990-05-01,2099-12-31,
A0A1,45552808,MEDIS_DIAGEXC_S,I65.2|内頚動脈粥状硬化症,442615,SNOMED,1990-05-01,2099-12-31,
A0AH,45595951,MEDIS_DIAGEXC_S,G56.2|遅発性尺骨神経麻痺,374027,SNOMED,1990-05-01,2099-12-31,
A0BK,45547596,MEDIS_DIAGEXC_S,D38.0|喉頭腫瘍,22274,SNOMED,1990-05-01,2099-12-31,
A0DN,45532843,MEDIS_DIAGEXC_S,A52.7|内耳梅毒,435739,SNOMED,1990-05-01,2099-12-31,
A0DN,45581760,MEDIS_DIAGEXC_S,H94.8|内耳梅毒,378161,SNOMED,1990-05-01,2099-12-31,
A0E0,45567102,MEDIS_DIAGEXC_S,H54.2|視力低下,44806790,SNOMED,1990-05-01,2099-12-31,
A0EA,45572968,MEDIS_DIAGEXC_S,Q52.7|先天性外陰欠損,4279771,SNOMED,1990-05-01,2099-12-31,
A0FA,42616828,MEDIS_DIAGEXC_S,M10.01|肩関節痛風,4084229,SNOMED,2016-12-01,2099-12-31,
A0FA,42616828,MEDIS_DIAGEXC_S,M10.01|肩関節痛風,40484571,SNOMED,2016-12-01,2099-12-31,
A0GC,45567331,MEDIS_DIAGEXC_S,K85|急性出血性膵炎,199074,SNOMED,1990-05-01,2099-12-31,
A0H8,42619017,MEDIS_DIAGEXC_S,M86.93|橈骨骨髄炎,138847,SNOMED,2016-12-01,2099-12-31,
A0HE,45600496,MEDIS_DIAGEXC_S,C44.6|手掌基底細胞癌,440658,SNOMED,1990-05-01,2099-12-31,
A0JD,45572259,MEDIS_DIAGEXC_S,L04.0|頭部急性リンパ節炎,4063919,SNOMED,1990-05-01,2099-12-31,
A0JG,45605663,MEDIS_DIAGEXC_S,H31.1|網脈絡膜変性,439815,SNOMED,1990-05-01,2099-12-31,
A0JN,45552387,MEDIS_DIAGEXC_S,E11.6|２型糖尿病性関節症,201826,SNOMED,1990-05-01,2099-12-31,
A0JN,45552387,MEDIS_DIAGEXC_S,E11.6|２型糖尿病性関節症,442793,SNOMED,1990-05-01,2099-12-31,
A0JN,45577156,MEDIS_DIAGEXC_S,M14.2|２型糖尿病性関節症,4114427,SNOMED,1990-05-01,2099-12-31,
A0LQ,45594966,MEDIS_DIAGEXC_S,T85.7|歯科インプラント周囲炎,440276,SNOMED,1990-05-01,2099-12-31,
A0NP,45595776,MEDIS_DIAGEXC_S,D73.1|脾機能亢進症,192298,SNOMED,1990-05-01,2099-12-31,
