source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
20050004,45539311,MEDIS_DIAGKNR_S,Q91.3|１８常染色体異常,438865,SNOMED,1990-05-01,2099-12-31,
20050006,45592443,MEDIS_DIAGKNR_S,R94.2|１秒率低下,4064989,SNOMED,1990-05-01,2099-12-31,
20050007,45592443,MEDIS_DIAGKNR_S,R94.2|１秒量低下,4064989,SNOMED,1990-05-01,2099-12-31,
20050011,45600653,MEDIS_DIAGKNR_S,E25.0|２１ハイドロキシラーゼ欠損症,4029573,SNOMED,1990-05-01,2099-12-31,
20050020,45571656,MEDIS_DIAGKNR_S,E11|２型糖尿病,201826,SNOMED,1990-05-01,2099-12-31,
20050025,45601999,MEDIS_DIAGKNR_S,Q99.1|４６ＸＸ真性半陰陽,37164815,SNOMED,1990-05-01,2099-12-31,
20050029,45568101,MEDIS_DIAGKNR_S,Q93.3|４番短腕欠失,4062498,SNOMED,1990-05-01,2099-12-31,
20050030,45557469,MEDIS_DIAGKNR_S,H53.4|４分の１半盲,377286,SNOMED,1990-05-01,2099-12-31,
20050033,45576454,MEDIS_DIAGKNR_S,E29.1|５−アルファ還元酵素欠損症,26662,SNOMED,1990-05-01,2099-12-31,
20050044,45534351,MEDIS_DIAGKNR_S,P55.1|ＡＢＯ因子不適合,437090,SNOMED,1990-05-01,2099-12-31,
20050045,45537009,MEDIS_DIAGKNR_S,T80.3|ＡＢＯ因子不適合輸血,433921,SNOMED,1990-05-01,2099-12-31,
20050049,45534351,MEDIS_DIAGKNR_S,P55.1|ＡＢＯ溶血性疾患,437090,SNOMED,1990-05-01,2099-12-31,
20050051,45586151,MEDIS_DIAGKNR_S,E24.0|ＡＣＴＨ産生下垂体腺腫,4096185,SNOMED,1990-05-01,2099-12-31,
20050053,45561963,MEDIS_DIAGKNR_S,E23.0|ＡＣＴＨ単独欠損症,4254542,SNOMED,1990-05-01,2099-12-31,
20050056,45556881,MEDIS_DIAGKNR_S,Z95.1|ＡＣバイパス術後,42537729,SNOMED,1990-05-01,2099-12-31,
20050057,45581332,MEDIS_DIAGKNR_S,D81.3|ＡＤＡ欠乏症,4261471,SNOMED,1990-05-01,2099-12-31,
20050058,45544170,MEDIS_DIAGKNR_S,R94.7|ＡＤＨ異常,45770748,SNOMED,1990-05-01,2099-12-31,
20050063,45547443,MEDIS_DIAGKNR_S,B24|ＡＩＤＳ,439727,SNOMED,1990-05-01,2099-12-31,
20050065,45547443,MEDIS_DIAGKNR_S,B24|ＡＩＤＳ関連症候群,439727,SNOMED,1990-05-01,2099-12-31,
20050066,45568149,MEDIS_DIAGKNR_S,R75|ＡＩＤＳ検査陽性,4013106,SNOMED,1990-05-01,2099-12-31,
20050072,45543849,MEDIS_DIAGKNR_S,N01.7|ＡＮＣＡ関連腎炎,4059458,SNOMED,1990-05-01,2099-12-31,
20050077,45534372,MEDIS_DIAGKNR_S,Q27.9|ＡＶＭ,316795,SNOMED,1990-05-01,2099-12-31,
20050083,45566537,MEDIS_DIAGKNR_S,B15.9|Ａ型肝炎,196625,SNOMED,1990-05-01,2099-12-31,
20050084,45553678,MEDIS_DIAGKNR_S,Q39.0|Ａ型食道閉鎖,36717640,SNOMED,1990-05-01,2099-12-31,
20050085,45595581,MEDIS_DIAGKNR_S,A30.3|ＢＢ型ハンセン病,436902,SNOMED,1990-05-01,2099-12-31,
20050086,45566497,MEDIS_DIAGKNR_S,A30.4|ＢＬ型ハンセン病,4345219,SNOMED,1990-05-01,2099-12-31,
20050089,45561696,MEDIS_DIAGKNR_S,A30.2|ＢＴ型ハンセン病,4347522,SNOMED,1990-05-01,2099-12-31,
20050098,45590845,MEDIS_DIAGKNR_S,B16.9|Ｂ型肝炎,197795,SNOMED,1990-05-01,2099-12-31,
20050099,45600448,MEDIS_DIAGKNR_S,B18.1|Ｂ型肝硬変,439674,SNOMED,1990-05-01,2099-12-31,
20050099,45538546,MEDIS_DIAGKNR_S,K74.6|Ｂ型肝硬変,4064161,SNOMED,1990-05-01,2099-12-31,
20050100,45590845,MEDIS_DIAGKNR_S,B16.9|Ｂ型急性肝炎,197795,SNOMED,1990-05-01,2099-12-31,
20050101,45547439,MEDIS_DIAGKNR_S,B16.2|Ｂ型劇症肝炎,4314443,SNOMED,1990-05-01,2099-12-31,
20050102,45600448,MEDIS_DIAGKNR_S,B18.1|Ｂ型慢性肝炎,439674,SNOMED,1990-05-01,2099-12-31,
20050103,45586056,MEDIS_DIAGKNR_S,C85.1|Ｂ細胞リンパ腫,434592,SNOMED,1990-05-01,2099-12-31,
20050104,45600564,MEDIS_DIAGKNR_S,C91.1|Ｂ細胞型慢性リンパ性白血病,4173824,SNOMED,1990-05-01,2099-12-31,
20050118,45588638,MEDIS_DIAGKNR_S,S63.0|ＣＭ関節脱臼,3654438,SNOMED,1990-05-01,2099-12-31,
20050120,42619339,MEDIS_DIAGKNR_S,M19.94|ＣＭ関節変形性関節症,443582,SNOMED,2016-12-01,2099-12-31,
20050121,45534423,MEDIS_DIAGKNR_S,R06.8|ＣＯ２ナルコーシス,4305080,SNOMED,1990-05-01,2099-12-31,
20050124,45566709,MEDIS_DIAGKNR_S,D71|ＣＲ３欠損症,37162782,SNOMED,1990-05-01,2099-12-31,
20050127,45586151,MEDIS_DIAGKNR_S,E24.0|ＣＲＨ産生腫瘍,4096185,SNOMED,1990-05-01,2099-12-31,
20050133,45590846,MEDIS_DIAGKNR_S,B18.2|Ｃ型肝炎,198964,SNOMED,1990-05-01,2099-12-31,
20050134,45590846,MEDIS_DIAGKNR_S,B18.2|Ｃ型肝硬変,198964,SNOMED,1990-05-01,2099-12-31,
20050134,45538546,MEDIS_DIAGKNR_S,K74.6|Ｃ型肝硬変,4064161,SNOMED,1990-05-01,2099-12-31,
20050135,45595608,MEDIS_DIAGKNR_S,B17.1|Ｃ型急性肝炎,192242,SNOMED,1990-05-01,2099-12-31,
20050136,45592373,MEDIS_DIAGKNR_S,Q39.1|Ｃ型食道閉鎖,4004146,SNOMED,1990-05-01,2099-12-31,
20050137,45590846,MEDIS_DIAGKNR_S,B18.2|Ｃ型慢性肝炎,198964,SNOMED,1990-05-01,2099-12-31,
20050141,42617012,MEDIS_DIAGKNR_S,M13.14|ＤＩＰ関節炎,44784338,SNOMED,2016-12-01,2099-12-31,
20050142,45578940,MEDIS_DIAGKNR_S,S63.1|ＤＩＰ関節脱臼,4213507,SNOMED,1990-05-01,2099-12-31,
20050143,45755944,MEDIS_DIAGKNR_S,S62.60|ＤＩＰ関節脱臼骨折,4088051,SNOMED,1990-05-01,2099-12-31,
20050144,45755944,MEDIS_DIAGKNR_S,S62.60|ＤＩＰ関節内骨折,4088051,SNOMED,1990-05-01,2099-12-31,
20050145,45564454,MEDIS_DIAGKNR_S,S63.6|ＤＩＰ関節捻挫,81454,SNOMED,1990-05-01,2099-12-31,
20050145,45564454,MEDIS_DIAGKNR_S,S63.6|ＤＩＰ関節捻挫,4094343,SNOMED,1990-05-01,2099-12-31,
20050146,45582222,MEDIS_DIAGKNR_S,M67.4|ＤＩＰ関節部ガングリオン,40481632,SNOMED,1990-05-01,2099-12-31,
20050147,42619339,MEDIS_DIAGKNR_S,M19.94|ＤＩＰ関節変形性関節症,443582,SNOMED,2016-12-01,2099-12-31,
20050154,45571457,MEDIS_DIAGKNR_S,B17.8|Ｄ型肝炎,4211974,SNOMED,1990-05-01,2099-12-31,
20050155,45534230,MEDIS_DIAGKNR_S,O36.0|Ｄ不適合,199891,SNOMED,1990-05-01,2099-12-31,
20050156,45576421,MEDIS_DIAGKNR_S,D82.3|ＥＢウイルス関連免疫不全症,4100982,SNOMED,1990-05-01,2099-12-31,
20050171,45561746,MEDIS_DIAGKNR_S,B17.2|Ｅ型肝炎,197490,SNOMED,1990-05-01,2099-12-31,
20050172,45534230,MEDIS_DIAGKNR_S,O36.0|Ｅ不適合,199891,SNOMED,1990-05-01,2099-12-31,
20050174,45561963,MEDIS_DIAGKNR_S,E23.0|ＦＳＨ単独欠損症,4254542,SNOMED,1990-05-01,2099-12-31,
20050176,45581321,MEDIS_DIAGKNR_S,D55.0|Ｇ６ＰＤ欠乏性貧血,4269764,SNOMED,1990-05-01,2099-12-31,
20050178,45576238,MEDIS_DIAGKNR_S,A40.1|ＧＢＳ敗血症,40489909,SNOMED,1990-05-01,2099-12-31,
20050180,45552411,MEDIS_DIAGKNR_S,E75.1|ＧＭ１ガングリオシドーシス,4180066,SNOMED,1990-05-01,2099-12-31,
20050181,45542768,MEDIS_DIAGKNR_S,E75.0|ＧＭ２ガングリオシドーシス,4142635,SNOMED,1990-05-01,2099-12-31,
20050182,45552411,MEDIS_DIAGKNR_S,E75.1|ＧＭ３ガングリオシドーシス,4180066,SNOMED,1990-05-01,2099-12-31,
20050187,45590845,MEDIS_DIAGKNR_S,B16.9|ＨＢウイルス腎症,197795,SNOMED,1990-05-01,2099-12-31,
20050187,45539028,MEDIS_DIAGKNR_S,N08.0|ＨＢウイルス腎症,4059452,SNOMED,1990-05-01,2099-12-31,
20050190,45595608,MEDIS_DIAGKNR_S,B17.1|ＨＣウイルス腎症,192242,SNOMED,1990-05-01,2099-12-31,
20050190,45539028,MEDIS_DIAGKNR_S,N08.0|ＨＣウイルス腎症,4059452,SNOMED,1990-05-01,2099-12-31,
20050193,45571460,MEDIS_DIAGKNR_S,B21.0|ＨＩＶカポジ肉腫,4224096,SNOMED,1990-05-01,2099-12-31,
20050194,45571459,MEDIS_DIAGKNR_S,B20.6|ＨＩＶカリニ肺炎,4190647,SNOMED,1990-05-01,2099-12-31,
20050194,45571459,MEDIS_DIAGKNR_S,B20.6|ＨＩＶカリニ肺炎,4226502,SNOMED,1990-05-01,2099-12-31,
20050195,45585950,MEDIS_DIAGKNR_S,B20.4|ＨＩＶカンジダ病,433968,SNOMED,1990-05-01,2099-12-31,
20050195,45585950,MEDIS_DIAGKNR_S,B20.4|ＨＩＶカンジダ病,4092686,SNOMED,1990-05-01,2099-12-31,
20050196,45571461,MEDIS_DIAGKNR_S,B21.1|ＨＩＶバーキットリンパ腫,37017595,SNOMED,1990-05-01,2099-12-31,
20050197,45547443,MEDIS_DIAGKNR_S,B24|ＨＩＶ感染症,439727,SNOMED,1990-05-01,2099-12-31,
20050198,45561748,MEDIS_DIAGKNR_S,B22.1|ＨＩＶ間質性肺炎,4195014,SNOMED,1990-05-01,2099-12-31,
20050198,45561748,MEDIS_DIAGKNR_S,B22.1|ＨＩＶ間質性肺炎,37017244,SNOMED,1990-05-01,2099-12-31,
20050199,45568149,MEDIS_DIAGKNR_S,R75|ＨＩＶ検査陽性,4013106,SNOMED,1990-05-01,2099-12-31,
20050200,45561749,MEDIS_DIAGKNR_S,B23.8|ＨＩＶ腎症,439727,SNOMED,1990-05-01,2099-12-31,
20050200,45539028,MEDIS_DIAGKNR_S,N08.0|ＨＩＶ腎症,4059452,SNOMED,1990-05-01,2099-12-31,
20050202,45595610,MEDIS_DIAGKNR_S,B22.0|ＨＩＶ脳症,4262297,SNOMED,1990-05-01,2099-12-31,
20050204,45556932,MEDIS_DIAGKNR_S,B21.2|ＨＩＶ非ホジキンリンパ腫,40484012,SNOMED,1990-05-01,2099-12-31,
20050207,45576264,MEDIS_DIAGKNR_S,B33.3|ＨＴＬＶ−Ｉ感染症,433694,SNOMED,1990-05-01,2099-12-31,
20050208,45537747,MEDIS_DIAGKNR_S,A85.8|ＨＴＬＶ−Ｉ関連脊髄症,372547,SNOMED,1990-05-01,2099-12-31,
20050208,45600472,MEDIS_DIAGKNR_S,B97.3|ＨＴＬＶ−Ｉ関連脊髄症,433694,SNOMED,1990-05-01,2099-12-31,
20050210,45532957,MEDIS_DIAGKNR_S,C88.2|Ｈ鎖病,4288751,SNOMED,1990-05-01,2099-12-31,
20050225,45561921,MEDIS_DIAGKNR_S,D55.2|ＩＩ型溶血性非球状赤血球性貧血,601114,SNOMED,1990-05-01,2099-12-31,
20050228,42617012,MEDIS_DIAGKNR_S,M13.14|ＩＰ関節炎,44784338,SNOMED,2016-12-01,2099-12-31,
20050229,45564454,MEDIS_DIAGKNR_S,S63.6|ＩＰ関節捻挫,81454,SNOMED,1990-05-01,2099-12-31,
