source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
"AP",0,"RINCHU_DRUG_ROUTE","外用",4263689,"SNOMED",2002-01-31,2099-12-31,""
"B",0,"RINCHU_DRUG_ROUTE","頬",4181897,"SNOMED",2002-01-31,2099-12-31,""
"DT",0,"RINCHU_DRUG_ROUTE","歯",4163765,"SNOMED",2002-07-31,2099-12-31,""
"EP",0,"RINCHU_DRUG_ROUTE","硬膜外",4225555,"SNOMED",2004-01-31,2099-12-31,""
"ET",0,"RINCHU_DRUG_ROUTE","気管内チューブ",4229543,"SNOMED",2004-01-31,2099-12-31,""
"GTT",0,"RINCHU_DRUG_ROUTE","消化器官",40487501,"SNOMED",2011-07-31,2099-12-31,""
"GU",0,"RINCHU_DRUG_ROUTE","GU洗浄",4222254,"SNOMED",2006-07-31,2099-12-31,""
"IMR",0,"RINCHU_DRUG_ROUTE","浸透",37397638,"SNOMED",2016-07-31,2099-12-31,""
"IA",0,"RINCHU_DRUG_ROUTE","動脈内",4240824,"SNOMED",2002-01-31,2099-12-31,""
"IB",0,"RINCHU_DRUG_ROUTE","滑液包内",4302352,"SNOMED",2006-01-31,2099-12-31,""
"IC",0,"RINCHU_DRUG_ROUTE","心臓内",4222259,"SNOMED",2006-07-31,2099-12-31,""
"ICV",0,"RINCHU_DRUG_ROUTE","子宮",4269621,"SNOMED",2002-01-31,2099-12-31,""
"ID",0,"RINCHU_DRUG_ROUTE","皮膚内",4156706,"SNOMED",2002-07-31,2099-12-31,""
"IH",0,"RINCHU_DRUG_ROUTE","吸入",40486069,"SNOMED",2011-07-31,2099-12-31,""
"IHA",0,"RINCHU_DRUG_ROUTE","肝内動脈",40493258,"SNOMED",2011-01-31,2099-12-31,""
"IM",0,"RINCHU_DRUG_ROUTE","筋肉内",4302612,"SNOMED",2002-01-31,2099-12-31,""
"IN",0,"RINCHU_DRUG_ROUTE","鼻腔内",4262914,"SNOMED",2002-01-31,2099-12-31,""
"IO",0,"RINCHU_DRUG_ROUTE","眼内",4157760,"SNOMED",2002-07-31,2099-12-31,""
"IP",0,"RINCHU_DRUG_ROUTE","腹腔内",4243022,"SNOMED",2002-01-31,2099-12-31,""
"IS",0,"RINCHU_DRUG_ROUTE","滑液包内",4302352,"SNOMED",2006-01-31,2099-12-31,""
"IT",0,"RINCHU_DRUG_ROUTE","鞘内",4217202,"SNOMED",2002-01-31,2099-12-31,""
"IU",0,"RINCHU_DRUG_ROUTE","子宮内",4269621,"SNOMED",2002-01-31,2099-12-31,""
"IV",0,"RINCHU_DRUG_ROUTE","静脈内",4171047,"SNOMED",2002-01-31,2099-12-31,""
"MM",0,"RINCHU_DRUG_ROUTE","粘膜",4169634,"SNOMED",2006-01-31,2099-12-31,""
"NS",0,"RINCHU_DRUG_ROUTE","鼻側",4262914,"SNOMED",2002-01-31,2099-12-31,""
"NG",0,"RINCHU_DRUG_ROUTE","経口径内腔",4132161,"SNOMED",2002-01-31,2099-12-31,""
"NP",0,"RINCHU_DRUG_ROUTE","鼻のプロング",4262914,"SNOMED",2002-01-31,2099-12-31,""
"NT",0,"RINCHU_DRUG_ROUTE","鼻気管内チューブ",4262914,"SNOMED",2002-01-31,2099-12-31,""
"OP",0,"RINCHU_DRUG_ROUTE","眼",4157760,"SNOMED",2002-07-31,2099-12-31,""
"OT",0,"RINCHU_DRUG_ROUTE","耳",4023156,"SNOMED",2002-01-31,2099-12-31,""
"OTH",0,"RINCHU_DRUG_ROUTE","その他／さまざま",4106215,"SNOMED",2004-07-31,2099-12-31,""
"PF",0,"RINCHU_DRUG_ROUTE","灌流",37018288,"SNOMED",2016-01-31,2099-12-31,""
"PO",0,"RINCHU_DRUG_ROUTE","口",4132161,"SNOMED",2002-01-31,2099-12-31,""
"PR",0,"RINCHU_DRUG_ROUTE","直腸",4290759,"SNOMED",2002-01-31,2099-12-31,""
"RM",0,"RINCHU_DRUG_ROUTE","リブリーザーマスク",40486069,"SNOMED",2011-07-31,2099-12-31,""
"SD",0,"RINCHU_DRUG_ROUTE","湿性包帯",4262099,"SNOMED",2002-01-31,2099-12-31,""
"MTH",0,"RINCHU_DRUG_ROUTE","口／喉",4170440,"SNOMED",2006-01-31,2099-12-31,""
"SC",0,"RINCHU_DRUG_ROUTE","皮下",4142048,"SNOMED",2002-01-31,2099-12-31,""
"SL",0,"RINCHU_DRUG_ROUTE","舌下",4292110,"SNOMED",2002-01-31,2099-12-31,""
"TP",0,"RINCHU_DRUG_ROUTE","局所",4263689,"SNOMED",2002-01-31,2099-12-31,""
"TRA",0,"RINCHU_DRUG_ROUTE","気管切開",40491832,"SNOMED",2011-01-31,2099-12-31,""
"TD",0,"RINCHU_DRUG_ROUTE","経皮性",4177987,"SNOMED",2008-01-31,2099-12-31,""
"TL",0,"RINCHU_DRUG_ROUTE","経舌",4292110,"SNOMED",2002-01-31,2099-12-31,""
"UR",0,"RINCHU_DRUG_ROUTE","尿道",4233974,"SNOMED",2002-01-31,2099-12-31,""
"VG",0,"RINCHU_DRUG_ROUTE","膣",4057765,"SNOMED",2002-01-31,2099-12-31,""
"VM",0,"RINCHU_DRUG_ROUTE","換気マスク",40486069,"SNOMED",2011-07-31,2099-12-31,""
"WND",0,"RINCHU_DRUG_ROUTE","創傷",40490507,"SNOMED",2011-07-31,2099-12-31,""
