source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
"AMP",8543,"RINCHU_DRUG_UNIT","AMP|Ａ",8543,"UCUM",19700101,20991231,""
"BAG",4181295,"RINCHU_DRUG_UNIT","BAG|袋",32912,"UCUM",19700101,20991231,""
"BOX",4305370,"RINCHU_DRUG_UNIT","BOX|箱",32912,"UCUM",19700101,20991231,""
"BTL",4305548,"RINCHU_DRUG_UNIT","BTL|瓶",32912,"UCUM",19700101,20991231,""
"CAN",4180120,"RINCHU_DRUG_UNIT","CAN|管",32912,"UCUM",19700101,20991231,""
"CAP",4176621,"RINCHU_DRUG_UNIT","CAP|cap",32912,"UCUM",19700101,20991231,""
"G",8504,"RINCHU_DRUG_UNIT","G|g",8504,"UCUM",19700101,20991231,""
"HON",8510,"RINCHU_DRUG_UNIT","HON|本",8510,"UCUM",19700101,20991231,""
"KO",8510,"RINCHU_DRUG_UNIT","KO|個",8510,"UCUM",19700101,20991231,""
"MCG",9655,"RINCHU_DRUG_UNIT","MCG|mcg",9655,"UCUM",19700101,20991231,""
"MG",8576,"RINCHU_DRUG_UNIT","MG|mg",8576,"UCUM",19700101,20991231,""
"MGBQ",45891007,"RINCHU_DRUG_UNIT","MGBQ|MBq",45891007,"UCUM",19700101,20991231,""
"ML",8587,"RINCHU_DRUG_UNIT","ML|mL",8587,"UCUM",19700101,20991231,""
"PCK",4170769,"RINCHU_DRUG_UNIT","PCK|包",32912,"UCUM",19700101,20991231,""
"PIPE",4305388,"RINCHU_DRUG_UNIT","PIPE|筒",32912,"UCUM",19700101,20991231,""
"SET",8510,"RINCHU_DRUG_UNIT","SET|Set",8510,"UCUM",19700101,20991231,""
"SHT",4119681,"RINCHU_DRUG_UNIT","SHT|枚",32912,"UCUM",19700101,20991231,""
"TAB",9431,"RINCHU_DRUG_UNIT","TAB|錠",9431,"UCUM",19700101,20991231,""
"TOU",4305388,"RINCHU_DRUG_UNIT","TOU|筒",32912,"UCUM",19700101,20991231,""
"UNT",8510,"RINCHU_DRUG_UNIT","UNT|単位",8510,"UCUM",19700101,20991231,""
"VIL",37116350,"RINCHU_DRUG_UNIT","VIL|Ｖ",32912,"UCUM",19700101,20991231,""
