source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
"%",8554,"RINCHU_OBX_UNIT","%",8554,"UCUM",19700101,20991231,""
"CO",8523,"RINCHU_OBX_UNIT","CO",8523,"UCUM",19700101,20991231,""
"COI",8523,"RINCHU_OBX_UNIT","COI",8523,"UCUM",19700101,20991231,""
"fL",8583,"RINCHU_OBX_UNIT","fL",8583,"UCUM",19700101,20991231,""
"fmol/L",8745,"RINCHU_OBX_UNIT","fmol/L",8745,"UCUM",19700101,20991231,""
"g/dL",8713,"RINCHU_OBX_UNIT","g/dL",8713,"UCUM",19700101,20991231,""
"g/L",8636,"RINCHU_OBX_UNIT","g/L",8636,"UCUM",19700101,20991231,""
"INR",8523,"RINCHU_OBX_UNIT","INR",8523,"UCUM",19700101,20991231,""
"logIU/mL",9084,"RINCHU_OBX_UNIT","logIU/mL",9084,"UCUM",19700101,20991231,""
"mg/d",8840,"RINCHU_OBX_UNIT","mg/d",8840,"UCUM",19700101,20991231,""
"mg/dL",8840,"RINCHU_OBX_UNIT","mg/dL",8840,"UCUM",19700101,20991231,""
"mg/g･Cr",9017,"RINCHU_OBX_UNIT","mg/g･Cr",9017,"UCUM",19700101,20991231,""
"mg/L",8751,"RINCHU_OBX_UNIT","mg/L",8751,"UCUM",19700101,20991231,""
"mL/min/1.73m*2",720870,"RINCHU_OBX_UNIT","mL/min/1.73m*2",720870,"UCUM",20220407,20991231,""
"mm",8588,"RINCHU_OBX_UNIT","mm",8588,"UCUM",19700101,20991231,""
"mmol/L",8753,"RINCHU_OBX_UNIT","mmol/L",8753,"UCUM",19700101,20991231,""
"mU/mL",8719,"RINCHU_OBX_UNIT","mU/mL",8719,"UCUM",19700101,20991231,""
"ng/dL",8817,"RINCHU_OBX_UNIT","ng/dL",8817,"UCUM",19700101,20991231,""
"ng/mL",8842,"RINCHU_OBX_UNIT","ng/mL",8842,"UCUM",19700101,20991231,""
"pg",8564,"RINCHU_OBX_UNIT","pg",8564,"UCUM",19700101,20991231,""
"pg/mL",8845,"RINCHU_OBX_UNIT","pg/mL",8845,"UCUM",19700101,20991231,""
"s",9212,"RINCHU_OBX_UNIT","s",8555,"UCUM",19700101,20991231,""
"S/CO",8779,"RINCHU_OBX_UNIT","S/CO",8779,"UCUM",19700101,20991231,""
"U",8510,"RINCHU_OBX_UNIT","U",8510,"UCUM",19700101,20991231,""
"U/L",8645,"RINCHU_OBX_UNIT","U/L",8645,"UCUM",19700101,20991231,""
"U/mL",8763,"RINCHU_OBX_UNIT","U/mL",8763,"UCUM",19700101,20991231,""
"X10*3/μL",8848,"RINCHU_OBX_UNIT","X10*3/μL",8848,"UCUM",19700101,20991231,""
"X10*6/μL",8815,"RINCHU_OBX_UNIT","X10*6/μL",8815,"UCUM",19700101,20991231,""
"μg/dL",8837,"RINCHU_OBX_UNIT","μg/dL",8837,"UCUM",19700101,20991231,""
"μg/mL",8859,"RINCHU_OBX_UNIT","μg/mL",8859,"UCUM",19700101,20991231,""
"μmol/L",8749,"RINCHU_OBX_UNIT",,8749,"UCUM",19700101,20991231,""
"μU/mL",8860,"RINCHU_OBX_UNIT","μU/mL",8860,"UCUM",19700101,20991231,""
"単位なし",32912,"RINCHU_OBX_UNIT","単位なし",32912,"UCUM",19700101,20991231,""
"定性･判定",32912,"RINCHU_OBX_UNIT","定性･判定",32912,"UCUM",19700101,20991231,""
"倍",8524,"RINCHU_OBX_UNIT","倍",8524,"UCUM",19700101,20991231,""
"比",8523,"RINCHU_OBX_UNIT","比",8523,"UCUM",19700101,20991231,""
