source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
"-",0,"RINCHU_OBX_VALUE","-",36662562,"LOINC",19700101,20991231,""
"−",0,"RINCHU_OBX_VALUE","−（数学用のマイナス記号）",36662562,"LOINC",19700101,20991231,""
"－",0,"RINCHU_OBX_VALUE","－（全角ハイフン）",36662562,"LOINC",19700101,20991231,""
"(-)",0,"RINCHU_OBX_VALUE","(-)",36662562,"LOINC",19700101,20991231,""
"(ー)",0,"RINCHU_OBX_VALUE","(ー)",36662562,"LOINC",19700101,20991231,""
"+-",0,"RINCHU_OBX_VALUE","+-",4127785,"SNOMED",20020131,20991231,""
"±",0,"RINCHU_OBX_VALUE","±",4127785,"SNOMED",20020131,20991231,""
"(+-)",0,"RINCHU_OBX_VALUE","(+-)",4127785,"SNOMED",20020131,20991231,""
"(＋−)",0,"RINCHU_OBX_VALUE","(+-)",4127785,"SNOMED",20020131,20991231,""
"(+)",0,"RINCHU_OBX_VALUE","(+)",4123508,"SNOMED",20020131,20991231,""
"(＋)",0,"RINCHU_OBX_VALUE","(＋)",4123508,"SNOMED",20020131,20991231,""
"+",0,"RINCHU_OBX_VALUE","+",4123508,"SNOMED",20020131,20991231,""
"＋",0,"RINCHU_OBX_VALUE","＋",4123508,"SNOMED",20020131,20991231,""
"1+",0,"RINCHU_OBX_VALUE","１＋",45878548,"LOINC",19700101,20991231,""
"１＋",0,"RINCHU_OBX_VALUE","１＋",45878548,"LOINC",19700101,20991231,""
"++",0,"RINCHU_OBX_VALUE","++",4126673,"SNOMED",20020131,20991231,""
"2+",0,"RINCHU_OBX_VALUE","２＋",45881916,"LOINC",19700101,20991231,""
"２＋",0,"RINCHU_OBX_VALUE","２＋",45881916,"LOINC",19700101,20991231,""
"+++",0,"RINCHU_OBX_VALUE","+++",4125547,"SNOMED",20020131,20991231,""
"3+",0,"RINCHU_OBX_VALUE","３＋",45876467,"LOINC",19700101,20991231,""
"３＋",0,"RINCHU_OBX_VALUE","３＋",45876467,"LOINC",19700101,20991231,""
"++++",0,"RINCHU_OBX_VALUE","++++",4126674,"SNOMED",20020131,20991231,""
"4+",0,"RINCHU_OBX_VALUE","4+",45881623,"LOINC",19700101,20991231,""
"４＋",0,"RINCHU_OBX_VALUE","４＋",45881623,"LOINC",19700101,20991231,""
"+++++",0,"RINCHU_OBX_VALUE","+++++",36032943,"LOINC",19700101,20991231,""
"5+",0,"RINCHU_OBX_VALUE","5+",36032943,"LOINC",19700101,20991231,""
"５＋",0,"RINCHU_OBX_VALUE","５＋",36032943,"LOINC",19700101,20991231,""
"++++++",0,"RINCHU_OBX_VALUE","++++++",36032612,"LOINC",19700101,20991231,""
"6+",0,"RINCHU_OBX_VALUE","6+",36032612,"LOINC",19700101,20991231,""
"６＋",0,"RINCHU_OBX_VALUE","６＋",36032612,"LOINC",19700101,20991231,""
"--判定--",0,"RINCHU_OBX_VALUE","--色調--",0,"None",19700101,20991231,
"陰性",0,"RINCHU_OBX_VALUE","陰性",9189,"SNOMED",20020131,20991231,""
"擬陽性",0,"RINCHU_OBX_VALUE","擬陽性",4232000,"SNOMED",20020131,20991231,""
"陽性",0,"RINCHU_OBX_VALUE","陽性",9191,"SNOMED",20020131,20991231,""
"ｲﾝｾｲ",0,"RINCHU_OBX_VALUE","ｲﾝｾｲ",9189,"SNOMED",20020131,20991231,""
"ｷﾞﾖｳｾｲ",0,"RINCHU_OBX_VALUE","ｷﾞﾖｳｾｲ",4232000,"SNOMED",20020131,20991231,""
"ﾖｳｾｲ",0,"RINCHU_OBX_VALUE","ﾖｳｾｲ",9191,"SNOMED",20020131,20991231,""
"ﾍﾝｲﾐﾄﾒｽﾞ",0,"RINCHU_OBX_VALUE","ﾍﾝｲﾐﾄﾒｽﾞ",9189,"SNOMED",20020131,20991231,""
"ﾍﾝｲｱﾘ",0,"RINCHU_OBX_VALUE","ﾍﾝｲｱﾘ",45877985,"LOINC",19700101,20991231,""
"ﾍﾝｲﾖｳｾｲ",0,"RINCHU_OBX_VALUE","ﾍﾝｲﾖｳｾｲ",45877985,"LOINC",19700101,20991231,""
"ｶﾀﾊﾝﾃｲﾌﾉｳ",0,"RINCHU_OBX_VALUE","ｶﾀﾊﾝﾃｲﾌﾉｳ",45884091,"LOINC",19700101,20991231,""
"ｹｲｻﾝﾌﾉｳ",0,"RINCHU_OBX_VALUE","ｹｲｻﾝﾌﾉｳ",1989937,"LOINC",19700101,20991231,""
"ｹﾀｱﾌﾚ",0,"RINCHU_OBX_VALUE","ｹﾀｱﾌﾚ",45878591,"LOINC",19700101,20991231,""
"ｹﾝｼﾕﾂｾｽﾞ",0,"RINCHU_OBX_VALUE","ｹﾝｼﾕﾂｾｽﾞ",45880296,"LOINC",19700101,20991231,""
"ﾊﾝﾞｲ",0,"RINCHU_OBX_VALUE","ﾊﾝｲｶﾞｲ",45878591,"LOINC",19700101,20991231,""
"ﾊﾝﾃｲﾌﾉｳ",0,"RINCHU_OBX_VALUE","ﾊﾝﾃｲﾌﾉｳ",45884091,"LOINC",19700101,20991231,""
"ﾊﾝﾃｲﾎﾘﾕｳ",0,"RINCHU_OBX_VALUE","ﾊﾝﾃｲﾎﾘﾕｳ",618555,"SNOMED",20210901,20991231,""
"判定困難",0,"RINCHU_OBX_VALUE","判定困難",45884091,"LOINC",19700101,20991231,""
"判定不可",0,"RINCHU_OBX_VALUE","判定不可",45884091,"LOINC",19700101,20991231,""
"判定保留",0,"RINCHU_OBX_VALUE","判定保留",618555,"SNOMED",20210901,20991231,""
"ITDﾍﾝｲｱﾘ",0,"RINCHU_OBX_VALUE","ITDﾍﾝｲｱﾘ",45877985,"LOINC",19700101,20991231,""
"ITDﾍﾝｲﾅｼ",0,"RINCHU_OBX_VALUE","ITDﾍﾝｲﾅｼ",45880296,"LOINC",19700101,20991231,""
"1-1ｶﾞﾀ",0,"RINCHU_OBX_VALUE","1-1ｶﾞﾀ",0,"None",19700101,20991231,
"2-1ｶﾞﾀ",0,"RINCHU_OBX_VALUE","2-1ｶﾞﾀ",0,"None",19700101,20991231,
"2-2ｶﾞﾀ",0,"RINCHU_OBX_VALUE","2-2ｶﾞﾀ",0,"None",19700101,20991231,
"20-29",0,"RINCHU_OBX_VALUE","20-29",45876633,"LOINC",19700101,20991231,""
"30-49",0,"RINCHU_OBX_VALUE","30-49",0,"None",19700101,20991231,
"50-99",0,"RINCHU_OBX_VALUE","50-99",0,"None",19700101,20991231,
"Error",0,"RINCHU_OBX_VALUE","Error",37109704,"SNOMED",20170731,20991231,""
"WBC集塊+",0,"RINCHU_OBX_VALUE","WBC集塊+",9191,"SNOMED",20020131,20991231,""
"--色調--",0,"RINCHU_OBX_VALUE","--色調--",0,"None",19700101,20991231,
"ピンク色",0,"RINCHU_OBX_VALUE","ピンク色",4159775,"SNOMED",20020731,20991231,""
"暗赤褐色",0,"RINCHU_OBX_VALUE","暗赤褐色",765410,"SNOMED",20150901,20991231,""
"黄褐色",0,"RINCHU_OBX_VALUE","黄褐色",1244669,"SNOMED",20231001,20991231,""
"黄色",0,"RINCHU_OBX_VALUE","黄色",4153953,"SNOMED",20020731,20991231,""
"褐色",0,"RINCHU_OBX_VALUE","褐色",4153957,"SNOMED",20020731,20991231,""
"青緑色",0,"RINCHU_OBX_VALUE","青緑色",4233482,"SNOMED",20040131,20991231,""
"赤ﾌﾞﾄﾞｳ酒",0,"RINCHU_OBX_VALUE","赤ﾌﾞﾄﾞｳ酒",1621180,"LOINC",19700101,20991231,""
"赤褐色",0,"RINCHU_OBX_VALUE","赤褐色",765410,"SNOMED",20150901,20991231,""
"赤色",0,"RINCHU_OBX_VALUE","赤色",4159773,"SNOMED",20020731,20991231,""
"淡黄色",0,"RINCHU_OBX_VALUE","淡黄色",1246245,"SNOMED",20230901,20991231,""
"淡褐色",0,"RINCHU_OBX_VALUE","淡褐色",45883292,"LOINC",19700101,20991231,""
"淡桃色",0,"RINCHU_OBX_VALUE","淡桃色",605004,"SNOMED",20210131,20991231,""
"淡橙色",0,"RINCHU_OBX_VALUE","淡橙色",1246243,"SNOMED",20230901,20991231,""
"茶灰色",0,"RINCHU_OBX_VALUE","茶灰色",1246022,"SNOMED",20230901,20991231,""
"茶褐色",0,"RINCHU_OBX_VALUE","茶褐色",763977,"SNOMED",20150901,20991231,""
"桃色",0,"RINCHU_OBX_VALUE","桃色",4159775,"SNOMED",20020731,20991231,""
"透明",0,"RINCHU_OBX_VALUE","透明",4139810,"SNOMED",20020131,20991231,""
"乳赤色",0,"RINCHU_OBX_VALUE","乳赤色",37168501,"SNOMED",20230531,20991231,""
"乳白色",0,"RINCHU_OBX_VALUE","乳白色",4139833,"SNOMED",20020131,20991231,""
"薄ピンク",0,"RINCHU_OBX_VALUE","薄ピンク",605004,"SNOMED",20210131,20991231,""
"麦わら色",0,"RINCHU_OBX_VALUE","麦わら色",763957,"SNOMED",20150901,20991231,""
"緑色",0,"RINCHU_OBX_VALUE","緑色",4153954,"SNOMED",20020731,20991231,""
"橙色",0,"RINCHU_OBX_VALUE","橙色",4159774,"SNOMED",20020731,20991231,""
"無色",0,"RINCHU_OBX_VALUE","無色",4137796,"SNOMED",20020131,20991231,""
"--濁--",0,"RINCHU_OBX_VALUE","--色調--",0,"None",19700101,20991231,
"弱濁",0,"RINCHU_OBX_VALUE","弱濁",4136247,"SNOMED",20020131,20991231,""
"薄濁",0,"RINCHU_OBX_VALUE","薄濁",4136247,"SNOMED",20020131,20991231,""
"濁",0,"RINCHU_OBX_VALUE","濁",4136247,"SNOMED",20020131,20991231,""
"強濁",0,"RINCHU_OBX_VALUE","強濁",21498853,"LOINC",19700101,20991231,""
"--コメント--",0,"RINCHU_OBX_VALUE","--色調--",0,"None",19700101,20991231,
"ﾎｳｺｸｽﾞﾐ",0,"RINCHU_OBX_VALUE","ﾎｳｺｸｽﾞﾐ",45880329,"LOINC",19700101,20991231,""
"別紙参照",0,"RINCHU_OBX_VALUE","別紙参照",45880329,"LOINC",19700101,20991231,""
"報告参照",0,"RINCHU_OBX_VALUE","報告参照",45880329,"LOINC",19700101,20991231,""
"コメント参照",0,"RINCHU_OBX_VALUE","コメント参照",45880329,"LOINC",19700101,20991231,""
"スキャナ済み",0,"RINCHU_OBX_VALUE","スキャナ済み",45880329,"LOINC",19700101,20991231,""
"スキャナ参照",0,"RINCHU_OBX_VALUE","スキャナ参照",45880329,"LOINC",19700101,20991231,""
"依頼なし",0,"RINCHU_OBX_VALUE","依頼なし",36308768,"LOINC",19700101,20991231,""
"ラベル用",0,"RINCHU_OBX_VALUE","ラベル用",0,"None",19700101,20991231,
"検査済",0,"RINCHU_OBX_VALUE","検査済",4112431,"SNOMED",20020131,20991231,""
"検査取消",0,"RINCHU_OBX_VALUE","検査取消",4226233,"SNOMED",20060731,20991231,""
"検査中止",0,"RINCHU_OBX_VALUE","検査中止",4226233,"SNOMED",20060731,20991231,""
"検査中止*",0,"RINCHU_OBX_VALUE","検査中止*",4226233,"SNOMED",20060731,20991231,""
"検査不可",0,"RINCHU_OBX_VALUE","検査不可",36309641,"LOINC",19700101,20991231,""
"検出不可",0,"RINCHU_OBX_VALUE","検出不可",45884091,"LOINC",19700101,20991231,""
"検体不足",0,"RINCHU_OBX_VALUE","検体不足",46237302,"LOINC",19700101,20991231,""
"検体無",0,"RINCHU_OBX_VALUE","検体無",36309641,"LOINC",19700101,20991231,""
"再検中",0,"RINCHU_OBX_VALUE","再検中",618555,"SNOMED",20210901,20991231,""
"時間外対応不可",0,"RINCHU_OBX_VALUE","時間外対応不可",36309641,"LOINC",19700101,20991231,""
"時間外不可",0,"RINCHU_OBX_VALUE","時間外不可",36309641,"LOINC",19700101,20991231,""
"受託中止",0,"RINCHU_OBX_VALUE","受託中止",4226233,"SNOMED",20060731,20991231,""
"染色済",0,"RINCHU_OBX_VALUE","染色済",0,"None",19700101,20991231,
"染色済み",0,"RINCHU_OBX_VALUE","染色済み",0,"None",19700101,20991231,
"感度下止",0,"RINCHU_OBX_VALUE","感度下止",1076303,"SNOMED",20240701,20991231,""
"換算不可",0,"RINCHU_OBX_VALUE","換算不可",45881125,"LOINC",19700101,20991231,""
"凝固不能",0,"RINCHU_OBX_VALUE","凝固不能",36309641,"LOINC",19700101,20991231,""
"計算不能",0,"RINCHU_OBX_VALUE","計算不能",1989937,"LOINC",19700101,20991231,""
"測定不可",0,"RINCHU_OBX_VALUE","測定不可",1989937,"LOINC",19700101,20991231,""
"測定不能",0,"RINCHU_OBX_VALUE","測定不能",1989937,"LOINC",19700101,20991231,""
"量不足中止",0,"RINCHU_OBX_VALUE","量不足中止",46237302,"LOINC",19700101,20991231,""
"沈渣目視",0,"RINCHU_OBX_VALUE","沈渣目視",0,"None",19700101,20991231,
"不足中止",0,"RINCHU_OBX_VALUE","不足中止",46237302,"LOINC",19700101,20991231,""
"目視確認",0,"RINCHU_OBX_VALUE","目視確認",0,"None",19700101,20991231,
"要細胞診",0,"RINCHU_OBX_VALUE","要細胞診",0,"None",19700101,20991231,
"--------",0,"RINCHU_OBX_VALUE","--------",0,"None",19700101,20991231,
"*",0,"RINCHU_OBX_VALUE","*",0,"None",19700101,20991231,
"**",0,"RINCHU_OBX_VALUE","**",0,"None",19700101,20991231,
"***",0,"RINCHU_OBX_VALUE","***",0,"None",19700101,20991231,
"*****",0,"RINCHU_OBX_VALUE","*****",0,"None",19700101,20991231,
"******",0,"RINCHU_OBX_VALUE","******",0,"None",19700101,20991231,
".",0,"RINCHU_OBX_VALUE",".",0,"None",19700101,20991231,
