source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
"ADT^A01^ADT_A01",9201,"RINCHU_VISIT","入院実施",9201,"Visit",19700101,20991231,""
"ADT^A02^ADT_A02",32254,"RINCHU_VISIT","転科・転棟（転室・転床）実施",32254,"UB04 Typ bill",19700101,20991231,""
"ADT^A03^ADT_A03",581476,"RINCHU_VISIT","退院実施",581476,"Visit",19700101,20991231,""
"ADT^A04^ADT_A01",9202,"RINCHU_VISIT","外来診察の受付",9202,"Visit",19700101,20991231,""
"ADT^A21^ADT_A21",8602,"RINCHU_VISIT","外出泊実施",8602,"CMS Place of Service",19700101,20991231,""
"ADT^A22^ADT_A21",0,"RINCHU_VISIT","外出泊帰院実施",0,"None",19700101,20991231,
"1",32606,"RINCHU_VISIT","自宅または自己介護施設へ退院（通常退院）",581476,"Visit",19700101,20991231,""
"2",32596,"RINCHU_VISIT","短期間の入院管理のため他病院へ退院／転送",9202,"Visit",19700101,20991231,""
"3",32212,"RINCHU_VISIT","熟練看護施設（SNF）へ退院／転送",8863,"CMS Place of Service",19700101,20991231,""
"4",8951,"RINCHU_VISIT","中間的な診療施設へ退院／転送",8951,"CMS Place of Service",19700101,20991231,""
"5",32596,"RINCHU_VISIT","異なる種類の入院診療施設へ退院／転送、または他の外来通院施設への紹介",9202,"Visit",19700101,20991231,""
"6",38004206,"RINCHU_VISIT","退院／転送して在宅看護組織へのもとに在宅管理",38004206,"NUCC",20080701,20991231,""
"7",32216,"RINCHU_VISIT","医療的なアドバイスを無視して離院、もしくは治療の継続中止",32216,"UB04 Pt dis status",19700101,20991231,""
"8",38004519,"RINCHU_VISIT","退院／転送して在宅静脈注射供給者のもとで在宅管理",38004519,"Medicare Specialty",19700101,20991231,""
"9",8717,"RINCHU_VISIT","この病院に入院",8717,"CMS Place of Service",19700101,20991231,""
"01",32606,"RINCHU_VISIT","自宅または自己介護施設へ退院（通常退院）",581476,"Visit",19700101,20991231,""
"02",32596,"RINCHU_VISIT","短期間の入院管理のため他病院へ退院／転送",9202,"Visit",19700101,20991231,""
"03",32212,"RINCHU_VISIT","熟練看護施設（SNF）へ退院／転送",8863,"CMS Place of Service",19700101,20991231,""
"04",8951,"RINCHU_VISIT","中間的な診療施設へ退院／転送",8951,"CMS Place of Service",19700101,20991231,""
"05",32596,"RINCHU_VISIT","異なる種類の入院診療施設へ退院／転送、または他の外来通院施設への紹介",9202,"Visit",19700101,20991231,""
"06",38004206,"RINCHU_VISIT","退院／転送して在宅看護組織へのもとに在宅管理",38004206,"NUCC",20080701,20991231,""
"07",32216,"RINCHU_VISIT","医療的なアドバイスを無視して離院、もしくは治療の継続中止",32216,"UB04 Pt dis status",19700101,20991231,""
"08",38004519,"RINCHU_VISIT","退院／転送して在宅静脈注射供給者のもとで在宅管理",38004519,"Medicare Specialty",19700101,20991231,""
"09",8717,"RINCHU_VISIT","この病院に入院",8717,"CMS Place of Service",19700101,20991231,""
"10",0,"RINCHU_VISIT","退院可能と定義された状態（必要時）",0,"None",19700101,20991231,
"11",0,"RINCHU_VISIT","退院可能と定義された状態（必要時）",0,"None",19700101,20991231,
"12",0,"RINCHU_VISIT","退院可能と定義された状態（必要時）",0,"None",19700101,20991231,
"13",0,"RINCHU_VISIT","退院可能と定義された状態（必要時）",0,"None",19700101,20991231,
"14",0,"RINCHU_VISIT","退院可能と定義された状態（必要時）",0,"None",19700101,20991231,
"15",0,"RINCHU_VISIT","退院可能と定義された状態（必要時）",0,"None",19700101,20991231,
"16",0,"RINCHU_VISIT","退院可能と定義された状態（必要時）",0,"None",19700101,20991231,
"17",0,"RINCHU_VISIT","退院可能と定義された状態（必要時）",0,"None",19700101,20991231,
"18",0,"RINCHU_VISIT","退院可能と定義された状態（必要時）",0,"None",19700101,20991231,
"19",0,"RINCHU_VISIT","退院可能と定義された状態（必要時）",0,"None",19700101,20991231,
"20",45878200,"RINCHU_VISIT","終了（死亡）",45878200,"LOINC",19700101,20991231,""
"21",45878200,"RINCHU_VISIT","死亡と定義された状態（必要時）",45878200,"LOINC",19700101,20991231,""
"22",45878200,"RINCHU_VISIT","死亡と定義された状態（必要時）",45878200,"LOINC",19700101,20991231,""
"23",45878200,"RINCHU_VISIT","死亡と定義された状態（必要時）",45878200,"LOINC",19700101,20991231,""
"24",45878200,"RINCHU_VISIT","死亡と定義された状態（必要時）",45878200,"LOINC",19700101,20991231,""
"25",45878200,"RINCHU_VISIT","死亡と定義された状態（必要時）",45878200,"LOINC",19700101,20991231,""
"26",45878200,"RINCHU_VISIT","死亡と定義された状態（必要時）",45878200,"LOINC",19700101,20991231,""
"27",45878200,"RINCHU_VISIT","死亡と定義された状態（必要時）",45878200,"LOINC",19700101,20991231,""
