source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
"1112700X1011",0,"RINCHU_DRUG","ハロタン",0,"None",19700101,20991231,
"1114700X1016",0,"RINCHU_DRUG","麻酔用エーテル",0,"None",19700101,20991231,
"1115400X1019",0,"RINCHU_DRUG","注射用チオペンタールナトリウム",35149018,"RxNorm Extension",20190311,20991231,""
"1115400X1027",0,"RINCHU_DRUG","ラボナール注射用０．３ｇ",0,"None",19700101,20991231,
"1115400X2015",0,"RINCHU_DRUG","注射用チオペンタールナトリウム",21139810,"RxNorm Extension",20170824,20991231,""
"1115400X2023",0,"RINCHU_DRUG","ラボナール注射用０．５ｇ",0,"None",19700101,20991231,
"1115403D3019",0,"RINCHU_DRUG","注射用チアミラールナトリウム",35136977,"RxNorm Extension",20190311,20991231,""
"1115403D3043",0,"RINCHU_DRUG","イソゾール注射用０．５ｇ",0,"None",19700101,20991231,
"1115403D3051",0,"RINCHU_DRUG","チトゾール注用０．５ｇ",35136977,"RxNorm Extension",20190311,20991231,""
"1115403D4015",0,"RINCHU_DRUG","注射用チアミラールナトリウム",35161338,"RxNorm Extension",20190311,20991231,""
"1115403D4031",0,"RINCHU_DRUG","チトゾール注用０．３ｇ",0,"None",19700101,20991231,
"1116700X1010",0,"RINCHU_DRUG","亜酸化窒素",0,"None",19700101,20991231,
"1116700X1045",0,"RINCHU_DRUG","マルワ亜酸化窒素",0,"None",19700101,20991231,
"1116700X1053",0,"RINCHU_DRUG","液化亜酸化窒素＊（日本エア・リキード）",0,"None",19700101,20991231,
"1116700X1061",0,"RINCHU_DRUG","液化亜酸化窒素＊（日産）",0,"None",19700101,20991231,
"1116700X1088",0,"RINCHU_DRUG","小池笑気",0,"None",19700101,20991231,
"1116700X1126",0,"RINCHU_DRUG","アネスタ",0,"None",19700101,20991231,
"1119400A1031",0,"RINCHU_DRUG","ケタラール静注用２００ｍｇ",19057195,"RxNorm",19700101,20991231,""
"1119400A2038",0,"RINCHU_DRUG","ケタラール筋注用５００ｍｇ",44045556,"RxNorm Extension",20170824,20991231,""
"1119400A3026",0,"RINCHU_DRUG","ケタラール静注用５０ｍｇ",19057195,"RxNorm",19700101,20991231,""
"1119401A1036",0,"RINCHU_DRUG","ドロレプタン注射液２５ｍｇ",36881067,"RxNorm Extension",20170824,20991231,""
"1119402A1014",0,"RINCHU_DRUG","プロポフォール２００ｍｇ２０ｍＬ注射液",753629,"RxNorm",19700101,20991231,""
"1119402A1022",0,"RINCHU_DRUG","１％ディプリバン注",753629,"RxNorm",19700101,20991231,""
"1119402A1073",0,"RINCHU_DRUG","プロポフォール１％静注２０ｍＬ「日医工」",753629,"RxNorm",19700101,20991231,""
"1119402A1103",0,"RINCHU_DRUG","プロポフォール静注１％２０ｍＬ「ＦＫ」",0,"None",19700101,20991231,
