field_name,source_table_name,source_field_name,source_code,source_code_description,source_vocabulary_id,source_domain_id,reccount,stcm,std_mapped,rn,source_concept_id,source_concept_name,source_concept_vocabulary_id,source_concept_domain_id,source_concept_class_id,target_concept_id,target_concept_name,target_concept_vocabulary_id,target_concept_domain_id,target_concept_class_id,target_standard_concept,target_valid_start_date,target_valid_end_date,target_invalid_reason
condition_source_value,PatientDisease,dis_management_cd,20071371,20071371|C787|再発転移性肝腫瘍の疑い,MEDIS_DIAGKNR_S,Condition,82788,Y,Y,1,45595688,Secondary malignant neoplasm of liver and intrahepatic bile duct,ICD10,Condition,ICD10 code,35226180,Metastasis to intrahepatic bile ducts,Cancer Modifier,Measurement,Metastasis,S,2020-10-13,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20071371,20071371|C787|再発転移性肝腫瘍の疑い,MEDIS_DIAGKNR_S,Condition,82788,Y,Y,2,45595688,Secondary malignant neoplasm of liver and intrahepatic bile duct,ICD10,Condition,ICD10 code,36770544,Metastasis to liver,Cancer Modifier,Measurement,Metastasis,S,2020-09-23,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20104132,20104132|U071|ＣＯＶＩＤ－１９,MEDIS_DIAGKNR_S,Condition,63856,Y,Y,1,45756093,"Emergency use of U07.1 | COVID-19, virus identified",ICD10,Condition,ICD10 code,704996,Patient meets COVID-19 laboratory diagnostic criteria,OMOP Extension,Observation,Clinical Finding,S,2020-05-13,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20104132,20104132|U071|ＣＯＶＩＤ－１９,MEDIS_DIAGKNR_S,Condition,63856,Y,Y,2,45756093,"Emergency use of U07.1 | COVID-19, virus identified",ICD10,Condition,ICD10 code,37311061,COVID-19,SNOMED,Condition,Disorder,S,2020-01-31,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20071393,20071393|C780|右下葉転移性肺腫瘍,MEDIS_DIAGKNR_S,Condition,61379,Y,Y,1,45537839,Secondary malignant neoplasm of lung,ICD10,Condition,ICD10 code,36770283,Metastasis to lung,Cancer Modifier,Measurement,Metastasis,S,2020-09-23,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20060580,20060580|R060|右呼吸困難術後再発の疑い,MEDIS_DIAGKNR_S,Condition,49230,Y,Y,1,45558449,Dyspnoea,ICD10,Condition,ICD10 code,312437,Dyspnea,SNOMED,Condition,Clinical Finding,S,2002-01-31,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20085374,20085374|R11|化学療法に伴う嘔吐症,MEDIS_DIAGKNR_S,Condition,49026,Y,Y,1,45609947,Other chemotherapy,ICD10,Procedure,ICD10 code,4273629,Chemotherapy,SNOMED,Procedure,Procedure,S,2002-01-31,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20085374,20085374|R11|化学療法に伴う嘔吐症,MEDIS_DIAGKNR_S,Condition,49026,Y,Y,2,45539317,Nausea and vomiting,ICD10,Condition,ICD10 Hierarchy,27674,Nausea and vomiting,SNOMED,Condition,Disorder,S,2002-01-31,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20073383,20073383|D65|播種性血管内凝固,MEDIS_DIAGKNR_S,Condition,41518,Y,Y,1,45547609,Disseminated intravascular coagulation [defibrination syndrome],ICD10,Condition,ICD10 Hierarchy,436093,Disseminated intravascular coagulation,SNOMED,Condition,Disorder,S,2002-01-31,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20061820,20061820|M5456|腰痛症,MEDIS_DIAGKNR_S,Condition,36919,Y,Y,1,45553207,Low back pain,ICD10,Condition,ICD10 code,194133,Low back pain,SNOMED,Condition,Clinical Finding,S,2002-01-31,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20059661,20059661|C770|右頚部リンパ節転移,MEDIS_DIAGKNR_S,Condition,32569,Y,Y,1,45590925,"Secondary and unspecified malignant neoplasm: Lymph nodes of head, face and neck",ICD10,Condition,ICD10 code,36768587,Spread to lymph node,Cancer Modifier,Measurement,Nodes,S,2020-09-23,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20071392,20071392|C793|右転移性脳腫瘍,MEDIS_DIAGKNR_S,Condition,29928,Y,Y,1,45561831,Secondary malignant neoplasm of brain and cerebral meninges,ICD10,Condition,ICD10 code,35226099,Metastasis to cerebral meninges,Cancer Modifier,Measurement,Metastasis,S,2020-10-13,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20071392,20071392|C793|右転移性脳腫瘍,MEDIS_DIAGKNR_S,Condition,29928,Y,Y,2,45561831,Secondary malignant neoplasm of brain and cerebral meninges,ICD10,Condition,ICD10 code,36768862,Metastasis to brain,Cancer Modifier,Measurement,Metastasis,S,2020-09-23,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20075903,20075903|K590|便秘症,MEDIS_DIAGKNR_S,Condition,29926,Y,Y,1,45557663,Constipation,ICD10,Condition,ICD10 code,75860,Constipation,SNOMED,Condition,Clinical Finding,S,2002-01-31,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20071549,20071549|E14|糖尿病,MEDIS_DIAGKNR_S,Condition,27052,Y,Y,1,45571663,Unspecified diabetes mellitus,ICD10,Condition,ICD10 Hierarchy,201820,Diabetes mellitus,SNOMED,Condition,Disorder,S,2002-01-31,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20061326,20061326|E039|甲状腺機能低下症,MEDIS_DIAGKNR_S,Condition,26284,Y,Y,1,45537945,"Hypothyroidism, unspecified",ICD10,Condition,ICD10 code,140673,Hypothyroidism,SNOMED,Condition,Disorder,S,2002-01-31,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20054178,20054178|C169|胃癌,MEDIS_DIAGKNR_S,Condition,24024,Y,Y,1,45571490,"Malignant neoplasm: Stomach, unspecified",ICD10,Condition,ICD10 code,196044,Primary malignant neoplasm of stomach,SNOMED,Condition,Disorder,S,2002-07-31,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20065604,20065604|I509|心不全,MEDIS_DIAGKNR_S,Condition,19663,Y,Y,1,45576879,"Heart failure, unspecified",ICD10,Condition,ICD10 code,316139,Heart failure,SNOMED,Condition,Disorder,S,2002-01-31,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20057201,20057201|J849|右間質性肺炎,MEDIS_DIAGKNR_S,Condition,18821,Y,Y,1,45543277,"Interstitial pulmonary disease, unspecified",ICD10,Condition,ICD10 code,4119786,Interstitial lung disease,SNOMED,Condition,Disorder,S,2002-01-31,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20063501,20063501|L309|下腿湿疹,MEDIS_DIAGKNR_S,Condition,18792,Y,Y,1,45572271,"Dermatitis, unspecified",ICD10,Condition,ICD10 code,45766714,Inflammatory dermatosis,SNOMED,Condition,Disorder,S,2015-01-31,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20050098,20050098|B169|Ｂ型肝炎,MEDIS_DIAGKNR_S,Condition,18171,Y,Y,1,45590845,Acute hepatitis B without delta-agent and without hepatic coma,ICD10,Condition,ICD10 code,197795,Acute type B viral hepatitis,SNOMED,Condition,Disorder,S,2002-01-31,2099-12-31,
condition_source_value,PatientDisease,dis_management_cd,20071355,20071355|D509|鉄欠乏性鉄欠乏性貧血,MEDIS_DIAGKNR_S,Condition,16565,Y,Y,1,45605373,"Iron deficiency anaemia, unspecified",ICD10,Condition,ICD10 code,436659,Iron deficiency anemia,SNOMED,Condition,Disorder,S,2002-01-31,2099-12-31,
